200049798-00171154,东莞快意,Y1.0F3-H,1,DNN,,DC110V,480*7*12*18-3M,有,CTRL90,海1387,10米,,"DOVER英文铭牌,主机型号打印为SC80L,载重打印2050kg","V型槽，β=103，γ=50，全英文资料，防护罩防护罩WYT-Y2D-FHZ.4，右置，包角＞145°NSK轴承,DOVER包装箱",2015/1/15,,,16E3B2A,,,,,华南
YS150126I,佛山住友富士,S1.5D-H,1,BCC,,AC220V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌，铭牌载重1050KG,D型，主机颜色为黑色，代码为1.06.578,2015/1/27,,信号黑色,14EB2,,,1412063,,华南
YS141230A,佛山住友富士,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，载重打印825KG,D型，主机颜色为黑色，代码为1.06.578,2015/1/5,,信号黑色,BLB,,,1412092,,华南
YS141230B,佛山住友富士,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，载重打印1050KG,D型，主机颜色为黑色，代码为1.06.578,2015/1/5,,信号黑色,BLB,,,1412093,,华南
YS150309F,佛山住友富士,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，载重打印825KG,D型，主机颜色为黑色，代码为1.06.578,2015/3/11,,信号黑色,BLB,,,1503003,,华南
YS150302D,佛山住友富士,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，铭牌载重1050KG,D型，主机颜色为黑色，代码为1.06.578,2015/3/3,,信号黑色,BLB,,,1412122,,华南
YS150104C,佛山住友富士,TA1.6C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，载重打印825KG,D型，主机颜色为黑色，代码为1.06.578,2015/1/5,,信号黑色,BLB,,,1411045-46,,华南
YS150310F,佛山住友富士,TA1.6D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，铭牌载重1050KG,D型，主机颜色为黑色，代码为1.06.578,2015/3/11,,信号黑色,BLB,,,1503011,,华南
YS150105C,广东广船,TA0.5D-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/6,,,BLB,,,14833627a L1#,,华南
YS150126E,广东广船,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,蓝光英文铭牌，铭牌打印545KG,D型,2015/1/26,,,BLB,,,15833511    L1#,,华南
YS150105B,广东广船,TA1.0D-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/6,,,BLB,,,14833579 L9#,,华南
YS150128F,广东广船,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/29,,,BLB,,,14833615 L1#,,华南
YS150126F,广东广船,TA1.75C-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光英文铭牌，铭牌打印750KG,D型,2015/1/26,,,BLB,,,15833514 L1-L2,,华南
YS150105A,广东广船,TA1.75DL-H,8,MC,,DC110V,480*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/1/6,,,BLB,,,14833597   L1-L8,,华南
YS150309A,广东华凯,U1.0ES-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/3/9,,,BLB,,,K201503003,,华南
YS150204A,广东华凯,U1.75DS-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,"蓝光铭牌,铭牌梯速打1.5M/S ",D型,2015/2/5,,,BLB,,,K201501018,,华南
YS150304D,广东皇朝富士,TA1.0A-H,1,MC,,DC110V,400*4*10*16,有,新时达,海1387,7米,,蓝光铭牌，铭牌打400KG,D型,2015/3/5,,,BLB,,,K150227-1,,华南
YS150305B,广东皇朝富士,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,新时达,海1387,7米,,蓝光铭牌，铭牌载重打印为525KG,D型,2015/3/5,,,BLB,,,K150303-1,,华南
YS150309G,广东皇朝富士,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型,2015/3/9,,,BLB,,,K150304-1,,华南
YS150116C,广东皇朝富士,TA1.5B-H,1,MC,,DC110V,400*4*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型,2015/1/20,,,BLB,,,K150114-1,,华南
YS150126D,广东皇朝富士,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/26,,,BLB,,,K150123-1,,华南
YS150109B,广东皇朝富士,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型,2015/1/14,,,BLB,,,K150104-2,,华南
YS150305D,广东皇朝富士,TA1.6D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型,2015/3/6,,,BLB,,,K150305-2,,华南
YS150304E,广东皇朝富士,U1.0ES-H,1,MM,,DC110V,480*6*12*18,有,新时达,海1387,7米,,蓝光铭牌,D型,2015/3/5,,,BLB,,,K150126-1,,华南
YS150119J,广东莱孚,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/20,,,BLB,,,,,华南
YS150309E,广东朗格斯,T1.0AM-H,1,MC,,DC110V,325*4*8*12,有,蓝光一体化,海1387,7米,,蓝光铭牌,D型,2015/3/10,,,BLB,,,K201501010,,华南
YS150202H,广东朗格斯,TA0.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/2/3,,,BLB,,,H201501008,,华南
YS150129D,广东朗格斯,TA1.0A-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/2/2,,,BLB,,,K201501010,,华南
YS150112A,广东朗格斯,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/13,,,BLB,,,K201412028,,华南
YS150203E,广东朗格斯,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/2/6,,,BLB,,,,,华南
YS150302K,广东朗格斯,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,7米,,蓝光铭牌，铭牌载重825KG,D型,2015/3/3,,,BLB,,,,,华南
YS150119H,广东朗格斯,TA2.0D-H,1,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,7米,,蓝光铭牌，铭牌载重2000KG，速度1.0M/S，曳引比4：1,D型,2015/1/19,,,BLB,,,K201501003,,华南
YS150114H,广东联合富士,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/15,,,BLB,,,502008,,华南
YS150302J,广东联合富士,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型，主机电压AC220V,2015/3/3,AC220V,,BLB,,,503008,,华南
YS150104H,广东联合富士,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,"蓝光铭牌,铭牌载重打印1050KG",D型,2015/1/5,,,BLB,,,402298,,华南
YS150126J,广东联合富士,TA1.0E-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/27,,,BLB,,,502001,,华南
YS150129B,广东联合富士,TA1.6B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,"蓝光铭牌,铭牌梯速打1.5M/S ",D型，主机电压AC220V,2015/1/30,AC220V,,BLB,,,503003,,华南
YS150205I,广东联合富士,TA1.6D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，铭牌梯速打1.5M/S,D型,2015/2/6,,,BLB,,,502053,,华南
YS150205G,广东联合富士,TA1.6E-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌，铭牌梯速打1.5M/S ,D型,2015/2/6,,,BLB,,,502060,,华南
YS150113I,广东联合富士,TA1.75D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/14,,,BLB,,,402270,,华南
YS150114F,广东联合通用,TA1.0C-H,1,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，β105 γ40 ,2015/1/16,,中酞兰,BLB,,,,,华南
YS150106C,广东铃木,TA1.5C-H,3,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/8,,,BLB,,,2-1412174-76,,华南
YS150130A,广东辛格林,U1.75ES-H,1,MM,,DC110V,480*7*12*18,无,默纳克,海1387,10米,,蓝光铭牌，铭牌梯速打印1.5M/S,D型,2015/2/2,,,BLB,,,SGL20150127-1,,华南
YS150303C,广东新力欧菲尔,S1.0B-H,1,BCC,,DC110V,400*4*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/3/4,,,14EA,,,15037# ,,华南
YS150122C,广东新力欧菲尔,S1.0C-H,2,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型 ,2015/1/23,,,14EA,,,15002# 15003#,,华南
YS150202C,广东亚太西奥,S1.5C-H,1,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/2/3,,,14EA,,,XAK20150116-9,,华南
YS150127A,广东亚太西奥,S1.5D-H,3,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型 ,2015/1/27,,,14EA,,,XAK20150116-6-8,,华南
YS150112C,广东亚太西奥,S1.6D-N,1,BCC,,AC220V,400*5*10*16,有,富士,多8192,7米,,蓝光铭牌,,2015/1/13,,,14EB2,,,XAK20150109-1,,华南
YS150202A,广东亚太西奥,S1.75C-H,2,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/2/3,,,14EA,,,XAK20150116-4-5,,华南
YS150113H,广东亚太西奥,S1.75D-H,4,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/1/14,,,14EA,,,XAK20150108-1-4,,华南
YS150107G,广东亚太西奥,TA1.0A-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/8,,,BLB,,,XAK20150105-1,,华南
YS150104E,广东亚太西奥,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/1/5,,,BLB,,,XAK20141229-1,,华南
YS141231A,广东亚太西奥,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/1/5,,,BLB,,,XAK20141223-2,,华南
YS150205D,广东亚太西奥,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/2/6,,,BLB,,,XAK20150203-1,,华南
YS150107H,广东亚太西奥,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/1/8,,,BLB,,, XAK20141230-9,,华南
YS150202F,广东亚太西奥,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/2/3,,,BLB,,,XAK20150121-2,,华南
YS141231D,广东亚太西奥,TA1.5E-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/5,,,BLB,,,XAK20141223-2,,华南
YS150115A,广东亚太西奥,TA1.75C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/1/15,,,BLB,,,XAK20150108-6,,华南
YS150121A,广东亚太西奥,TA1.75D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,广东亚太西奥铭牌,D型,2015/1/21,,,BLB,,,XAK20150108-7,,华南
YS150107D,广东亚太西奥,U1.0DS-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/8,,,BLB,,,XAK20141230-5,,华南
YS141231B,广东亚太西奥,U1.0ES-H,2,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/5,,,BLB,,,XAB20141215-4/5,,华南
YS150122A,广州东方,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，主机下置，带盘车装置,2015/1/23,,,BLB,,,15T5920010,,华南
YS150122B,广州东方,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，主机下置，带盘车装置,2015/1/23,,,BLB,,,15T5920009,,华南
YS150128B,广州东方,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，主机下置，带盘车装置,2015/1/29,,,BLB,,,15T7730013,,华南
PO01503100019.3,广州广日,TC1.75E-H,1,,,DC110V,400*6*10*16-2I,有,新时达,海1387,7米,,广日铭牌，作业号：16812648F,D型，提供原点值，β105 γ40 ,2015/3/11,,豆绿色,BLB,,,,,华南
预投YS150106.23,广州广日,TA1.0B-H,10,MC,,DC110V,V400*4*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16814992A,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
预投YS150106.24,广州广日,TA1.0B-H,10,MC,,DC110V,V400*4*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16815735A,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
PO01503050016.5,广州广日,U1.0DS-H,1,MM,,DC110V,V480*7*10*16-2I,有,新时达,海1387,7米,,广日铭牌，作业号：16814997A,D型，提供原点值，V型带切口:100°、50°,2015/3/5,,豆绿色,BLB,,,,,华南
预投YS150106.13,广州广日,TA1.0C-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16814992D,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
预投YS150106.14,广州广日,TA1.0C-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，铭牌载重打印825KG，作业号：16815735D,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
PO01503050016.6,广州广日,U1.0ES-H,1,MM,,DC110V,V480*7*10*16-2I,有,新时达,海1387,7米,,广日铭牌，作业号：16814997E,D型，提供原点值，V型带切口:100°、50°,2015/3/5,,豆绿色,BLB,,,,,华南
预投YS150106.15,广州广日,TA1.0D-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16814992G,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
预投YS150106.16,广州广日,TA1.0D-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16815735G，载重打印1050KG,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
PO01503050016.7,广州广日,U1.75DS-H,1,MM,,DC110V,V480*7*10*16-2I,有,新时达,海1387,7米,,广日铭牌，作业号：16814997B,D型，提供原点值，V型带切口:100°、50°,2015/3/5,,豆绿色,BLB,,,,,华南
PO01412310078,广州广日,U1.75ES-H,1,MM,,DC110V,V480*7*10*16-2I,有,新时达,海1387,7米,,广日铭牌，作业号：16814997F,D型，提供原点值，V型带切口:100°、50°,2015/1/5,,豆绿色,BLB,,,,,华南
预投YS150106.21,广州广日,TA1.75B-H,5,MC,,DC110V,V400*4*10*16,有,新时达,海1387,7米,,"广日铭牌,作业号：16814992B",D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
预投YS150106.22,广州广日,TA1.75B-H,5,MC,,DC110V,V400*4*10*16,有,新时达,海1387,7米,,广日铭牌作业号：16815735B,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
预投YS150106.17,广州广日,TA1.75C-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16814992E,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
预投YS150106.18,广州广日,TA1.75C-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，铭牌载重打印825KG，作业号：16815735E,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
PO01501230028,广州广日,U2.5DS-H,2,MM,,DC110V,V480*5*10*16-2H,有,新时达,海1387,7米,,广日铭牌.作业号：16827721B 载重打印1050KG,D型，提供原点值，V型带切口:β100γ50 ,2015/1/26,,豆绿色,BLB,,,,,华南
预投YS150106.19,广州广日,TA1.75D-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16814992H,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
